State and County information
Names and FIPS codes
Region in column 5
Final two columns are Estimated 2016 and 2017 Population, respectively
District of Columbia,District of Columbia,11,1,DC,684336,693972
Virginia,ISLE OF WIGHT COUNTY,51,93,Eastern,36324,36552
Virginia,KING AND QUEEN COUNTY,51,97,Eastern,7067,7003
Virginia,KING GEORGE COUNTY,51,99,Eastern,25918,26337
Virginia,KING WILLIAM COUNTY,51,101,Eastern,16412,16708
Virginia,LANCASTER COUNTY,51,103,Eastern,10778,10788
Virginia,LEE COUNTY,51,105,Western,24051,23758
Virginia,LOUDOUN COUNTY,51,107,Central,386279,398080
Virginia,LOUISA COUNTY,51,109,Central,35276,35860
Virginia,LUNENBURG COUNTY,51,111,Central,12266,12235
Virginia,MADISON COUNTY,51,113,Central,13108,13277
Virginia,MATHEWS COUNTY,51,115,Eastern,8806,8779
Virginia,MECKLENBURG COUNTY,51,117,Central,30786,30686
Virginia,MIDDLESEX COUNTY,51,119,Eastern,10768,10679
Virginia,MONTGOMERY COUNTY,51,121,Western,98440,98559
Virginia,NELSON COUNTY,51,125,Central,14895,14943
Virginia,NEW KENT COUNTY,51,127,Eastern,21030,21682
Virginia,NORTHAMPTON COUNTY,51,131,Eastern,12006,11846
Virginia,NORTHUMBERLAND COUNTY,51,133,Eastern,12195,12275
Virginia,NOTTOWAY COUNTY,51,135,Central,15510,15434
Virginia,ORANGE COUNTY,51,137,Central,35481,36073
Virginia,PAGE COUNTY,51,139,Central,23591,23731
Virginia,PATRICK COUNTY,51,141,Western,17769,17665
Virginia,PITTSYLVANIA COUNTY,51,143,Western,61673,61258
Virginia,POWHATAN COUNTY,51,145,Central,28398,28601
Virginia,PRINCE EDWARD COUNTY,51,147,Central,23023,22703
Virginia,PRINCE GEORGE COUNTY,51,149,Eastern,37807,37809
Virginia,PRINCE WILLIAM COUNTY,51,153,Central,456560,463023
Virginia,PULASKI COUNTY,51,155,Western,34240,34184
Virginia,RAPPAHANNOCK COUNTY,51,157,Central,7333,7321
Virginia,RICHMOND COUNTY,51,159,Eastern,8784,8939
Virginia,ROANOKE COUNTY,51,161,Western,93363,93730
Virginia,ROCKBRIDGE COUNTY,51,163,Western,22411,22659
Virginia,ROCKINGHAM COUNTY,51,165,Central,79298,80227
Virginia,RUSSELL COUNTY,51,167,Western,27394,27048
Virginia,SCOTT COUNTY,51,169,Western,22028,21865
Virginia,SHENANDOAH COUNTY,51,171,Central,42928,43225
Virginia,SMYTH COUNTY,51,173,Western,31075,30656
Virginia,SOUTHAMPTON COUNTY,51,175,Eastern,18019,17750
Virginia,SPOTSYLVANIA COUNTY,51,177,Central,131405,133033
Virginia,STAFFORD COUNTY,51,179,Central,143477,146649
Virginia,SURRY COUNTY,51,181,Eastern,6570,6540
Virginia,SUSSEX COUNTY,51,183,Central,11426,11373
Virginia,TAZEWELL COUNTY,51,185,Western,42046,41095
Virginia,WARREN COUNTY,51,187,Central,39066,39563
Virginia,WASHINGTON COUNTY,51,191,Western,54237,54387
Virginia,WESTMORELAND COUNTY,51,193,Eastern,17659,17780
Virginia,WISE COUNTY,51,195,Western,39034,38586
Virginia,WYTHE COUNTY,51,197,Western,28942,28882
Virginia,YORK COUNTY,51,199,Eastern,67742,67739
